IDCOT;IMMOSIS;TYPE_DOSSIER;OCCUPANT;DIT;REGION;DATE_DEBUT_COT;DATE_FIN_COT;FRAIS_DOSSIER;REDEVANCE;EN_SITE;UT;PROCESS;PHASE_ACTUELLE;REINT_PLATEFORME;ANCIENNE_NUM;NUM_AFFAIRE;COMMUNE;LIGNE;PK;PARCELLE_FERROVIERE;TYPE_RESEAU;DSP_CONCESSION;ID_COT;GEO
202103-PO-71-00296;???;Backlog, Creation;;DIT Auvergne Rhone Alpes BFC;BFC;28/11/2022;27/11/2042;1 000,00 €;0,00 €;Non;;POC;COT Active;Réintégré Plateforme;18-A644;;SULLY;752000-1-V1 à proximité ;PK 246+900 et 247+000;D 648 ZA 63;Electricité ?;No;296;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.4939584284693409,45.83671380148223],[0.49418105181757704,45.836321371001105],[0.4943473487765004,45.836239147121006],[0.49445463713709603,45.836315764831284],[0.49431516226832173,45.836399857318696],[0.4940952211291005,45.836732488579],[0.4939584284693409,45.83671380148223]]]},""properties"":null}]}"
202103-SR-51-00316;465225;Backlog, Creation;Syndicat intercommunal de la Marne;DIT Grand  Est ;Grand Est;20/10/2021;20/10/2041;1 000,00 €;128,84 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;Connantre;010 000;039+147 (PN 55);YS 87;Electricité ?;No;316;
202103-SR-51-00322;497257;Backlog, Creation;ENEDIS;DIT Grand Est;Grand Est;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;2020-18;;SÉZANNE;010000-1;PK 052+400;ZE 23;Electricité ?;No;322;
202103-SR-57-00325;564523;Backlog, Creation;La Horgne du Sablon;DIT Grand Est;Grand Est;01/03/2021;28/02/2041;1 000,00 €;119,45 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;MONTIGNY-LES-METZ;099000-1;PK 002+800 à 003+300;43 0365;Eau ??;No;325;
202103-SR-34-00340;521604;Backlog, Creation;Agglomération Hérault Méditerranée;DIT Grand Sud;Occitanie ;20/06/2022;20/06/2042;1 000,00 €;301,02 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;PÉZENAS;732000-2;PK 467+100 ;BM 85;Eau ??;No;340;
202103-SR-37-00344;500077;Backlog, Creation;ENEDIS;DIT OUEST Centre Val de Loire;Centre Val de Loire;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;;DA28/030617;VILLIERS-AU-BOUIN;500000-1;PK 232+800 (PN 147);A 558;Electricité ?;No;344;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.783475414147688,49.737653349446475],[2.784647002848942,49.73753131221207],[2.785415187903709,49.739084489960874],[2.784059062763845,49.739189882367526],[2.783475414147688,49.737653349446475]]]},""properties"":null}]}"
202103-SR-34-00348;514668;Backlog, Creation;ENEDIS;DIT Grand Sud ;Occitanie;11/03/2022;11/03/2042;38,11 €;689,28 €;Oui;006260L;Réseau;COT Active;Réintégré Plateforme;615;;VIAS;732000-1;PK 449+055;CY 194;Eau ??;No;348;
202103-PO-72-00353;566184;Backlog, Creation;Orange;DIT Ouest Bretagne et Pays de la Loire;Pays de Loire;28/10/2022;27/10/2042;1 000,00 €;63,82 €;Non;;POC;COT Active;Réintégré Plateforme;;;CHAMPFLEUR;430000-1;PK 049+050 (PN 52);ZE 43 et ZD 129;Télécom ??;No;353;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.081548720532735,46.326543956669724],[6.080733328992208,46.32631872964757],[6.0813598932800215,46.325234070114305],[6.08244135982386,46.32561933446763],[6.081548720532735,46.326543956669724]]]},""properties"":null}]}"
202103-SR-93-00360;???;Backlog, Creation;YGEO;DIT Ile de France;Ile de France;29/10/2021;29/10/2041;1 000,00 €;4 574,16 €;Oui;000677J;Réseau;COT Active;Réintégré Plateforme;17-A227;;ROSNY-SOUS-BOIS;001 000;13+000;BD n°180;Gaz ?;No;360;
202103-SR-32-00365;500771;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A508;;SÉGOUFIELLE;648 000;PK 037+045;AK 18;Electricité ?;No;365;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.346345916357677,46.900578322675955],[6.346294418075558,46.89953735981217],[6.347873702547076,46.899974273380025],[6.347869411405554,46.900918463862126],[6.346345916357677,46.900578322675955]]]},""properties"":null}]}"
202103-SR-31-00369;563982;Backlog, Creation;Syndicat Départemental d’Energie de la Haute Garonne;DIT Grand Sud;Occitanie;22/11/2021;22/11/2041;1 000,00 €;1,11 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A551;;MONTASTRUC-LA-CONSEILLÈRE;718000-1;PK 379+139 (PN 59);C 565;Electricité ?;No;369;
202103-SR-82-00370;???;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;23/01/2023;22/01/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A021;;MONTAUBAN;640000-1;PK 210+432;HR 298;Electricité ?;No;370;
202109-SR-26-00377;500342;Création Plateforme;Syndicat Irrigation Drômois (SIID);DIT AURA BFC;Auvergne Rhône-Alpes;02/11/2022;01/11/2042;1 604,41 €;72,71 €;Non;;Réseau;COT Active;;;;Crest;912000;014+700;ZR 2;Eau ??;No;377;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[4.986184765488764,44.733324098781935],[4.985991646369668,44.732173216174516],[4.986839224725694,44.732096997974736],[4.987043072684737,44.73323263875022],[4.986184765488764,44.733324098781935]]]},""properties"":null}]}"
202103-SR-31-00378;502329;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;12/01/2022;12/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A538;;MIREMONT;672 000;PK entre 029+300 et 029+400;0C 208 - 0F 133;Electricité ?;No;378;
202103-SR-31-00383;???;Backlog, Creation;TEREGA;DIT Grand Sud;Occitanie;04/11/2021;04/11/2041;1 000,00 €;0,77 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A181;;Chaum;668 000;122+707;A 1372, A 1373 et A 1374;Gaz ?;No;383;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.0952918454840983,48.956929734741976],[-0.09530257432015786,48.95631542135385],[-0.09449362014674988,48.95631964834945],[-0.09449791161569009,48.95694382440908],[-0.0952918454840983,48.956929734741976]]]},""properties"":null}]}"
202103-SR-31-00385;;Backlog, Creation;RTE;DIT Grand Sud;Occitanie;13/03/2023;12/03/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A158;;CASTELNAU-D'ESTRÉTEFONDS;640 000;PK 234+285;0B 103;Electricité ?;No;385;
202103-SR-65-00387;;Backlog, Creation;RTE;DIT Grand Sud;Occitanie;10/03/2023;09/03/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A019;;LANNEMEZAN;650000;117+723;0D 388;Electricité ?;No;387;
202103-SR-09-00388;594182;Backlog, Creation;TEREGA;DIT Grand Sud;Occitanie;26/02/2021;25/02/2041;1 000,00 €;11,10 €;Oui;003195V;Réseau;COT Active;;19-A050;;PAMIERS;672000;63+664;AK 065;Gaz ?;No;388;
